kulut_muut,kunta,kulut_muut_viestintavalineet,kulut_vaalitilaisuudet,muu_tuki,lainat,etunimi,omat_varat,kulut_radio,kulut_kaikki,yritys_tuki,puolue_lyh,kulut_tietoverkot,rahoitus_kaikki,kulut_televisio,valitetty_tuki,kulut_painettu_mat,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,kulut_tuen_hankintakulut,kulut_mainonnan_suunnittelu,kulut_ulkomainonta,kulut_lehdet,ammatti,yksityinen_tuki,puolue_tuki
0,Satakunnan vaalipiiri,0,0,0,0,Katja Maarika,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Syvärinen,0,0,0,0,työllisyyspalveluiden johtaja,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Juha Harry Erik,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Sandberg,0,0,0,0,"yhteiskuntatieteiden maisteri, hankintasuunnittelija",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Ilkka Tapio,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Ailasmaa,0,0,0,0,postityöntekijä,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Jari Heikki,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Myllykoski,0,0,0,0,työehtosihteeri,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Jaana Hannele,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Heininen,0,0,0,0,"perhepäivähoitaja, pääluottamusmies",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Anni Eliisa,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Satakunnan vaalipiiri,Kulmala,0,0,0,0,"tarkastaja, hallintotieteiden maisteri",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Ashton Forest,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Satakunnan vaalipiiri,Peasley,0,0,0,0,"tiehöylänkuljettaja, laivakokki",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Aki Nikolai,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Nummelin,0,0,0,0,"yhteiskuntatieteiden maisteri, projektipäällikkö",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Taito Anssi Ilmari,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Satakunnan vaalipiiri,Joutsenlahti,0,0,0,0,rovasti,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Anita Orvokki,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Satakunnan vaalipiiri,Koivu,0,0,0,0,"lehtori, eläkeläinen",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Olli-Pekka Ensio,0,0,0,0,M11,0,0,0,0,0,0,Muutos 2011 r.p.,Satakunnan vaalipiiri,Hakala,0,0,0,0,yrittäjä,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Vesa Kauko Kalevi,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Jalonen,0,0,0,0,"luokanopettaja, rehtori",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Tuomas Tapio,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Meriniemi,0,0,0,0,tekniikan ylioppilas,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Juha Sakari,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Korkeaoja,0,0,0,0,"kansanedustaja, agronomi",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Susa Viveka,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Lanne,0,0,0,0,"yhteiskuntatieteiden maisteri, aluekehitysasiantuntija",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Tapio Mikael,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Huhtanen,0,0,0,0,everstiluutnantti evp.,0,0
